	budget	popularity	revenue	runtime	vote_count	char1	directer
0	237000000	150.437577	2787965087	162	11800	Sam Worthington	James Cameron
1	300000000	139.082615	961000000	169	4500	Johnny Depp	Gore Verbinski
2	245000000	107.376788	880674609	148	4466	Daniel Craig	Sam Mendes
3	250000000	112.31295	1084939099	165	9106	Christian Bale	Christopher Nolan
4	260000000	43.926995	284139100	132	2124	Taylor Kitsch	Andrew Stanton
5	258000000	115.699814	890871626	139	3576	Tobey Maguire	Sam Raimi
6	260000000	48.681969	591794936	100	3330	Zachary Levi	Byron Howard
7	280000000	134.279229	1405403694	141	6767	Robert Downey Jr.	Joss Whedon
8	250000000	98.885637	933959197	153	5293	Daniel Radcliffe	David Yates
9	250000000	155.790452	873260194	151	7004	Ben Affleck	Zack Snyder
11	200000000	107.928811	586090727	106	2965	Daniel Craig	Marc Forster
12	200000000	145.847379	1065659812	151	5246	Johnny Depp	Gore Verbinski
13	255000000	49.046956	89289910	149	2311	Johnny Depp	Gore Verbinski
14	225000000	99.398009	662845518	143	6359	Henry Cavill	Zack Snyder
16	220000000	144.448633	1519557910	143	11776	Robert Downey Jr.	Joss Whedon
17	380000000	135.413856	1045713802	136	4948	Johnny Depp	Rob Marshall
18	225000000	52.035179	624026776	106	4160	Will Smith	Barry Sonnenfeld
19	250000000	120.965743	956019788	144	4760	Martin Freeman	Peter Jackson
20	215000000	89.866276	752215857	136	6586	Andrew Garfield	Marc Webb
21	200000000	37.668301	310669540	140	1398	Russell Crowe	Ridley Scott
22	250000000	94.370564	958400000	161	4524	Martin Freeman	Peter Jackson
23	180000000	42.990906	372234864	113	1303	Dakota Blue Richards	Chris Weitz
25	200000000	100.025899	1845034188	194	7562	Kate Winslet	James Cameron
26	250000000	198.372395	1153304495	147	7241	Chris Evans	Anthony Russo
28	150000000	418.708552	1513528810	124	8662	Chris Pratt	Colin Trevorrow
29	200000000	93.004993	1108561013	143	7604	Daniel Craig	Sam Mendes
30	200000000	35.149586	783766341	127	4321	Tobey Maguire	Sam Raimi
31	200000000	77.68208	1215439994	130	8806	Robert Downey Jr.	Shane Black
32	200000000	78.530105	1025491110	108	4645	Mia Wasikowska	Tim Burton
35	150000000	21.939663	836297228	150	3138	Shia LaBeouf	Michael Bay
36	210000000	116.840296	1091405097	165	3095	Mark Wahlberg	Michael Bay
37	200000000	46.985445	491868548	130	3530	James Franco	Sam Raimi
38	200000000	89.270217	705717432	142	4179	Andrew Garfield	Marc Webb
39	170000000	73.79505	400062763	125	2841	Garrett Hedlund	Joseph Kosinski
40	200000000	49.98659	559852396	106	2033	Owen Wilson	John Lasseter
41	200000000	51.872839	219851172	114	2487	Ryan Reynolds	Martin Campbell
42	200000000	59.995418	1066969703	103	4597	Tom Hanks	Lee Unkrich
43	200000000	71.862892	371353001	115	2463	Christian Bale	McG
44	190000000	102.322217	1506249360	137	4176	Vin Diesel	James Wan
